图书名字,作者,引述,出版社,发行日期,价格,评分,评价人数,图书详细链接
《泡沫之夏》,明晓溪,霸道总裁爱上我,新世界出版社,2006-3,20.00元,7.0,41845人评价,https://book.douban.com/subject/1596305/
《会有天使替我爱你》,明晓溪,理想化,新世界出版社,2005-5,20.00元,6.8,42847人评价,https://book.douban.com/subject/1291760/
《1984》,[英] 乔治·奥威尔,栗树荫下，我出卖你，你出卖我,北京十月文艺出版社,2010-4-1,28.00元,9.3,34632人评价,https://book.douban.com/subject/4820710/
《年华是无效信》,落落,女生间的微妙友谊,春风文艺出版社,2005-2,20.00元,7.6,39037人评价,https://book.douban.com/subject/1227838/
《幻夜》,〔日〕东野圭吾,《白夜行》续篇，恶的幻夜吞噬一切,南海出版公司,2009年9月,28.00元,7.6,39399人评价,https://book.douban.com/subject/4009552/
《在路上》,[美] 杰克·凯鲁亚克,我们非去不可，在到达之前，永不停止,上海译文出版社,2006-10,28.00元,7.8,38035人评价,https://book.douban.com/subject/1917972/
《射雕英雄传（全四册）》,金庸,侠之大者，为国为民,生活·读书·新知三联书店,1999-04,47.00元,8.9,32177人评价,https://book.douban.com/subject/1044547/
《明朝那些事儿（1-9）》,当年明月,不拘一格的历史书写,中国海关出版社,2009-4,358.20元,9.2,33592人评价,https://book.douban.com/subject/3674537/
《月亮忘記了》,幾米,月明星稀的晚上，看不见的，看见了,格林,2000-2-1,NT$ 299,8.5,35125人评价,https://book.douban.com/subject/1358873/
《明朝那些事儿（叁）》,当年明月,圣人般的王守仁，大娱乐家朱厚照,中国友谊出版公司,2007-4,24.80,8.9,34078人评价,https://book.douban.com/subject/2052448/
《哭泣的骆驼》,三毛,沙漠中寻常的生与死,哈尔滨出版社,2003-6,15.80元,8.9,29694人评价,https://book.douban.com/subject/1029111/
《原来你还在这里》,辛夷坞,还在的只有回忆,朝华出版社,2007-10,25.00元,7.7,37545人评价,https://book.douban.com/subject/2331434/
《半生缘》,张爱玲,世钧，我们回不去了,北京十月文艺出版社,2006-12,28.00元,8.6,34728人评价,https://book.douban.com/subject/1963684/
《此间的少年》,江南,象牙塔里的金庸群侠,华文出版社,2004-1,25.00元,8.3,35071人评价,https://book.douban.com/subject/1020459/
《货币战争》,宋鸿兵 编著,无所不能的罗斯柴尔德家族,中信出版社,2007-6,38.00元,7.3,38912人评价,https://book.douban.com/subject/2081876/
《佳期如梦》,匪我思存,玛丽苏成人童话,新世界出版社,2007-2,20.00元,8.0,35723人评价,https://book.douban.com/subject/1962929/
《人类简史》,[以色列]尤瓦尔·赫拉利,,中信出版社,2014-11-1,CNY 68.00,9.2,32867人评价,https://book.douban.com/subject/25985021/
《无人生还》,[英] 阿加莎・克里斯蒂,童谣杀人案,人民文学出版社,2008-3,19.00,8.9,33085人评价,https://book.douban.com/subject/3006581/
《一個人住第5年》,高木直子,独居生活之乐,大田,2004-12-1,NT$220,8.4,34301人评价,https://book.douban.com/subject/1346815/
《了不起的盖茨比》,菲茨杰拉德,梦，就像黛西家的那一缕绿光,人民文学出版社,2004-06,12.00元,8.3,34786人评价,https://book.douban.com/subject/1008988/
《时间旅行者的妻子》,[美] 奥德丽·尼芬格,在时间的缝隙中穿行，然后相遇,人民文学出版社,2007-4,29.90元,8.1,35072人评价,https://book.douban.com/subject/2056749/
《告别薇安》,安妮宝贝,七月与安生,中国社会科学出版社,2000-1,19.00,7.5,37099人评价,https://book.douban.com/subject/1016523/
《常识》,梁文道,献给这个常识稀缺的时代,广西师范大学出版社,2009-1,38.00,8.1,34799人评价,https://book.douban.com/subject/3344676/
《爱你就像爱生命》,王小波,王小波与李银河的两地书,上海锦绣文章出版社,2008-5,18.00元,8.8,33063人评价,https://book.douban.com/subject/3071717/
《撒哈拉的故事》,三毛,不枉来这世上走一遭,北京十月文艺出版社,2011-1-7,24.00元,9.3,31443人评价,https://book.douban.com/subject/6710437/
《步步惊心》,桐华,现世太苦，不如穿越回去从头来过,民族出版社,2006-6,25.00元,8.1,34439人评价,https://book.douban.com/subject/1812439/
《皮囊》,蔡崇达,皮囊之下，骨肉相连,天津人民出版社,2014-12-1,39.80元,7.7,35912人评价,https://book.douban.com/subject/26278687/
《二三事》,安妮宝贝,关于遗忘和记得的故事,南海出版公司,2004-1,20.00元,7.7,35531人评价,https://book.douban.com/subject/1058234/
《兄弟（下）》,余华,失控边缘的下部，但谁说荒诞就是不真,上海文艺出版社,2006-3,27.00元,7.5,36397人评价,https://book.douban.com/subject/1703544/
《孤独六讲》,蒋勋,作为一种美学的孤独,广西师范大学出版社,2009-10-1,36.00元,8.1,34300人评价,https://book.douban.com/subject/4124727/
《乌合之众》,(法)古斯塔夫.勒庞,群氓心理剖析,中央编译出版社,1998-01,16.00元,8.3,33293人评价,https://book.douban.com/subject/1012611/
《盗墓笔记2》,南派三叔,秦岭神树细思极恐,中国友谊出版公司,2007-4,26.80元,8.2,33201人评价,https://book.douban.com/subject/2057285/
《明朝那些事儿（肆）》,当年明月,大明朝当真名士如云,中国友谊出版公司,2007-9,24.80,8.8,31426人评价,https://book.douban.com/subject/2253642/
《失恋33天》,鲍鲸鲸,失恋是一种病，痊愈之后百毒不侵,中信出版社,2010-1,25.00元,8.0,33613人评价,https://book.douban.com/subject/4238754/
《动物农场》,[英] 乔治·奥威尔,太阳底下并无新事,上海译文出版社,2007-3,10.00元,9.2,30680人评价,https://book.douban.com/subject/2035179/
《左耳》,饶雪漫,当时只道是寻常,当代世界出版社,2006-2,22.00元,7.0,36605人评价,https://book.douban.com/subject/1469051/
《鹿鼎记（全五册）》,金庸,武侠的解构，流氓的狂欢,广州出版社 花城出版社,2008-3,108.00元,8.8,27201人评价,https://book.douban.com/subject/1212893/
